part_number,quantity,color_description,color_number,part_description
11214,26,Dark Grey,10,Technic Axle Pin Long with Friction with  2L Pin
11458,2,Black,11,Plate  1 x  2 with Offset Peghole
11478,4,Black,11,Technic Beam  5 x  0.5 Liftarm with Axle Holes at Both Ends
11478,12,Light Grey,9,Technic Beam  5 x  0.5 Liftarm with Axle Holes at Both Ends
11946,1,Red,5,Technic Panel Fairing Smooth #21 (Thin Short)
11947,1,Red,5,Technic Panel Fairing Smooth #22 (Thin Short)
11950,2,Light Grey,9,Technic Steering Wheel Bearing with  2 Pegholes
14720,4,Light Grey,9,Technic Beam  5 x  3 H-shaped
15068,2,Black,11,Slope Brick Curved  2 x  2 x  0.667
15100,4,Black,11,Technic Pin with Friction with Perpendicular Pin Hole
15458,2,Red,5,Technic Panel  3 x 11
15462,2,Dark Grey,10,Technic Axle  5 with Stop
18938,2,Black,11,Technic Turntable 60 Tooth Top
18939,2,Light Grey,9,Technic Turntable 60 Tooth Bottom
22961,15,Light Grey,9,Technic Axle with Perpendicular Pin Hole
23801,2,Black,11,Technic Steering Wheel Bearing with 2 Pegholes & 2 Axleholes Arms
24316,5,Brown,8,Technic Axle  3 with Stop
25214,2,Black,11,Cylinder  2 x  2 Elbow with Axle Holes
2654,4,Trans Clear,12,Dish  2 x  2
2780,116,Black,11,Technic Pin with Friction and Slots
2780,4,Light Grey,9,Technic Pin with Friction and Slots
2825,4,Light Grey,9,Technic Beam  4 x  0.5 Liftarm with Boss
3020,2,Light Grey,9,Plate  2 x  4
3023,4,Trans Clear,12,Plate  1 x  2
3024,2,Black,11,Plate  1 x  1
3031,2,Light Grey,9,Plate  4 x  4
32005,2,Black,11,Technic Steering Link  6L Type 2
32009,4,Black,11,Technic Beam  3 x  3.8 x  7 Liftarm Bent 45 Double
32013,2,Black,11,Technic Angle Connector #1
32014,4,Black,11,Technic Angle Connector #6 (90 degree)
32034,3,Black,11,Technic Angle Connector #2 (180 degree)
32034,2,Light Grey,9,Technic Angle Connector #2 (180 degree)
32034,2,Dark Grey,10,Technic Angle Connector #2 (180 degree)
32039,2,Black,11,Technic Connector (Axle/Bush)
32039,10,Light Grey,9,Technic Connector (Axle/Bush)
32054,2,Black,11,Technic Pin Long with Stop Bush
32054,20,Red,5,Technic Pin Long with Stop Bush
32062,22,Red,5,Technic Axle  2 Notched
32063,4,Black,11,Technic Beam  6 x  0.5
32063,4,Light Grey,9,Technic Beam  6 x  0.5
32073,8,Light Grey,9,Technic Axle  5
32123,2,Light Grey,9,Technic Bush 1/2 Smooth with Axle Hole Reduced
32123,40,Yellow,3,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced
32140,6,Black,11,Technic Beam  2 x  4 Liftarm Bent 90
32140,4,Red,5,Technic Beam  2 x  4 Liftarm Bent 90
32184,3,Black,11,Technic Cross Block 1 x 3 (Axle/Pin/Axle)
32184,2,Light Grey,9,Technic Cross Block 1 x 3 (Axle/Pin/Axle)
32192,2,Black,11,Technic Angle Connector #4 (135 degree)
32250,4,Black,11,Technic Beam  3 x  5 x  0.5 Liftarm Bent 90 Quarter Ellipse
32269,2,Tan,2,Technic Gear 20 Tooth Double Bevel
32270,1,Black,11,Technic Gear 12 Tooth Double Bevel
32278,2,Black,11,Technic Beam 15
32291,6,Black,11,Technic Cross Block 2 x 2 (Axle/Twin Pin)
32316,1,Black,11,Technic Beam  5
32449,4,Black,11,Technic Beam  4 x  0.5 Liftarm
32494,8,Light Grey,9,Technic Wheel Spindle Axle Driver
32523,7,Black,11,Technic Beam  3
32524,11,Black,11,Technic Beam  7
32524,10,Light Grey,9,Technic Beam  7
32525,3,Black,11,Technic Beam 11
32526,10,Black,11,Technic Beam  3 x  5 Bent 90
3623,2,Light Grey,9,Plate  1 x  3
