part_number,quantity,color_description,color_number,part_description
11458,2,Black,11,Plate  1 x  2 with Offset Peghole
14720,2,Light Grey,9,Technic Beam  5 x  3 H-shaped
15068,2,Black,11,Slope Brick Curved  2 x  2 x  0.667
18938,1,Black,11,Technic Turntable 60 Tooth Top
18939,1,Light Grey,9,Technic Turntable 60 Tooth Bottom
22961,12,Light Grey,9,Technic Axle with Perpendicular Pin Hole
23801,2,Black,11,Technic Steering Wheel Bearing with 2 Pegholes & 2 Axleholes Arms
24316,5,Brown,8,Technic Axle  3 with Stop
25214,2,Black,11,Cylinder  2 x  2 Elbow with Axle Holes
32063,2,Black,11,Technic Beam  6 x  0.5
32250,2,Black,11,Technic Beam  3 x  5 x  0.5 Liftarm Bent 90 Quarter Ellipse
32494,2,Light Grey,9,Technic Wheel Spindle Axle Driver
55615,6,Light Grey,9,Technic Pin Connector Perpendicular  3 x  3 Bent 90 with 4 Pins
64393,1,Red,5,Technic Panel Fairing Smooth #6 (Long)
64681,1,Red,5,Technic Panel Fairing Smooth #5 (Long)
92906,2,Dark Grey,10,Technic Steering Constant Velocity Joint Female
92909,2,Dark Grey,10,Technic Steering Wheel Hub for Portal Axle
98989,8,Light Grey,9,Technic Cross Block  2 x  4 (Axle/Pin/Pin/Twin Pin)
